win,start_time,end_time,duration_ms,total_frames,unique_ids,mean_dt_ms,std_dt_ms,entropy_ids,avg_dlc,avg_payload_var,file,label
0,1760045917.184597,1760045917.278372,93.77503395080566,80,17,1.1878126911524882,1.8538421425713472,3.41524101186092,8.0,6418.890625,can_log_regular_no_traffic.csv,0
1,1760045917.2846026,1760045917.3783665,93.76382827758789,80,17,1.2499302625656128,1.94161520082804,3.41524101186092,8.0,6147.6978515625,can_log_regular_no_traffic.csv,0
2,1760045917.3846073,1760045917.4845915,99.98416900634766,81,17,1.3114199226285204,2.006219334841998,3.409363169572871,8.0,6371.500771604939,can_log_regular_no_traffic.csv,0
3,1760045917.4848166,1760045917.584591,99.77436065673828,80,17,1.249992847442627,1.9371827946974176,3.41524101186092,8.0,7023.7501953125,can_log_regular_no_traffic.csv,0
4,1760045917.584818,1760045917.6845944,99.7765064239502,80,17,1.250043511390686,1.937328512433658,3.41524101186092,8.0,6565.69921875,can_log_regular_no_traffic.csv,0
5,1760045917.68482,1760045917.7783787,93.55878829956055,79,17,1.1871434465239319,1.8626637149629655,3.4196666886046656,8.0,6665.423259493671,can_log_regular_no_traffic.csv,0
6,1760045917.7846029,1760045917.8845952,99.99227523803711,81,17,1.3113139588155864,2.0026443410066226,3.409363169572871,8.0,6998.681712962963,can_log_regular_no_traffic.csv,0
7,1760045917.884819,1760045917.9845865,99.76744651794434,80,17,1.2498915195465088,1.9349617442351847,3.41524101186092,8.0,6995.322265625,can_log_regular_no_traffic.csv,0
8,1760045917.984812,1760045918.0845869,99.77483749389648,80,17,1.250004768371582,1.9357012754238532,3.41524101186092,8.0,7269.178125,can_log_regular_no_traffic.csv,0
9,1760045918.0848107,1760045918.1845863,99.77555274963379,80,17,1.249992847442627,1.9347061124006002,3.41524101186092,8.0,7298.9794921875,can_log_regular_no_traffic.csv,0
10,1760045918.1848366,1760045918.2845962,99.75957870483398,80,17,1.2501239776611328,1.9363321451821192,3.41524101186092,8.0,7295.6822265625,can_log_regular_no_traffic.csv,0
11,1760045918.2848122,1760045918.384586,99.77388381958008,80,17,1.2498736381530762,1.9345071268606484,3.41524101186092,8.0,6756.687109375,can_log_regular_no_traffic.csv,0
12,1760045918.3848455,1760045918.484584,99.73859786987305,80,17,1.2499749660491943,1.9339308321814488,3.41524101186092,8.0,7270.725390625,can_log_regular_no_traffic.csv,0
13,1760045918.4848075,1760045918.5845823,99.77483749389648,80,17,1.249977946281433,1.9393890453104938,3.41524101186092,8.0,7037.402734375,can_log_regular_no_traffic.csv,0
14,1760045918.584807,1760045918.684583,99.77602958679199,80,17,1.2500077486038208,1.9328079341639806,3.41524101186092,8.0,7386.218359375,can_log_regular_no_traffic.csv,0
15,1760045918.6848094,1760045918.78458,99.77054595947266,80,17,1.2499630451202393,1.93653686635907,3.41524101186092,8.0,7122.6201171875,can_log_regular_no_traffic.csv,0
16,1760045918.78483,1760045918.8845866,99.75647926330566,80,17,1.25008225440979,1.932632187136483,3.41524101186092,8.0,6993.9583984375,can_log_regular_no_traffic.csv,0
17,1760045918.8848288,1760045918.984594,99.76530075073242,80,17,1.2500941753387451,1.9357099990451456,3.41524101186092,8.0,6818.0673828125,can_log_regular_no_traffic.csv,0
18,1760045918.9848306,1760045919.0845768,99.7462272644043,80,17,1.249784231185913,1.9346590458012938,3.41524101186092,8.0,6804.7486328125,can_log_regular_no_traffic.csv,0
19,1760045919.0848017,1760045919.184587,99.78532791137695,80,17,1.2501269578933716,1.9351701529311016,3.41524101186092,8.0,7113.3287109375,can_log_regular_no_traffic.csv,0
20,1760045919.184826,1760045919.2845762,99.75028038024902,80,17,1.2498646974563599,1.936034220775424,3.41524101186092,8.0,6804.725390625,can_log_regular_no_traffic.csv,0
21,1760045919.2848015,1760045919.384575,99.77340698242188,80,17,1.2499839067459106,1.9352474691144812,3.41524101186092,8.0,6832.0564453125,can_log_regular_no_traffic.csv,0
22,1760045919.3847992,1760045919.4845817,99.78246688842773,80,17,1.2500852346420288,1.933173504259064,3.41524101186092,8.0,6403.9611328125,can_log_regular_no_traffic.csv,0
23,1760045919.4848032,1760045919.5845816,99.77841377258301,80,17,1.2499988079071045,1.9336619367996208,3.41524101186092,8.0,6634.437109375,can_log_regular_no_traffic.csv,0
